date,ticker,sentiment_score,positive_prob,negative_prob,neutral_prob,article_count,positive_count,negative_count,neutral_count,sentiment_std
2018-02-09,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,SPY,-0.0714,0.2156,0.287,0.4974,14,3,4,7,0.5578
2018-02-12,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-12,XLU,-0.7089,0.078,0.787,0.135,1,0,1,0,0.0
2018-02-12,XLV,0.0759,0.1212,0.0454,0.8334,1,0,0,1,0.0
2018-02-13,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,SPY,-0.1609,0.2412,0.4021,0.3567,12,3,5,4,0.6376
2018-02-13,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,XLF,0.1041,0.1134,0.0094,0.8772,1,0,0,1,0.0
2018-02-13,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-13,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,GLD,0.3402,0.3502,0.01,0.6398,1,0,0,1,0.0
2018-02-14,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,SPY,-0.0299,0.2133,0.2432,0.5435,15,2,3,10,0.5212
2018-02-14,TLT,-0.1993,0.2481,0.4473,0.3046,1,0,1,0,0.0
2018-02-14,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-14,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,GLD,0.0668,0.0846,0.0178,0.8976,2,0,0,2,0.0198
2018-02-15,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,SPY,-0.4404,0.108,0.5483,0.3437,9,0,6,3,0.4639
2018-02-15,TLT,0.0866,0.1034,0.0169,0.8797,1,0,0,1,0.0
2018-02-15,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,XLF,-0.2136,0.0524,0.2659,0.6817,1,0,0,1,0.0
2018-02-15,XLK,-0.2136,0.0524,0.2659,0.6817,1,0,0,1,0.0
2018-02-15,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-15,XLV,0.0268,0.0407,0.0139,0.9454,1,0,0,1,0.0
2018-02-16,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,GLD,-0.0075,0.0304,0.038,0.9316,1,0,0,1,0.0
2018-02-16,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,SPY,-0.3642,0.0589,0.4232,0.5179,10,0,4,6,0.3486
2018-02-16,TLT,-0.1699,0.0322,0.2021,0.7657,1,0,0,1,0.0
2018-02-16,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-16,XLV,-0.1699,0.0322,0.2021,0.7657,1,0,0,1,0.0
2018-02-19,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,GLD,-0.0399,0.1661,0.206,0.6279,1,0,0,1,0.0
2018-02-19,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,SPY,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-19,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,SPY,-0.2817,0.1123,0.394,0.4937,5,0,3,2,0.3975
2018-02-20,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-20,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,SPY,0.2565,0.4666,0.21,0.3234,9,5,1,3,0.544
2018-02-21,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,XLF,-0.0431,0.0234,0.0665,0.9102,1,0,0,1,0.0
2018-02-21,XLK,0.0289,0.0505,0.0217,0.9278,1,0,0,1,0.0
2018-02-21,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-21,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,SPY,-0.0339,0.1586,0.1925,0.6489,9,1,2,6,0.3241
2018-02-22,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-22,XLV,0.0262,0.041,0.0148,0.9442,1,0,0,1,0.0
2018-02-23,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,SPY,-0.2922,0.1438,0.4361,0.4201,27,3,10,14,0.4966
2018-02-23,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,XLF,-0.5409,0.1205,0.6614,0.2182,2,0,2,0,0.2018
2018-02-23,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-23,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,SPY,-0.1463,0.1707,0.317,0.5123,6,1,2,3,0.404
2018-02-26,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-26,XLV,0.5763,0.6642,0.0879,0.2479,1,1,0,0,0.0
2018-02-27,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,GLD,-0.3832,0.1386,0.5218,0.3397,2,0,1,1,0.3912
2018-02-27,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,SPY,-0.2983,0.1167,0.415,0.4682,12,1,5,6,0.5126
2018-02-27,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-27,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,SPY,-0.2023,0.0402,0.2425,0.7173,6,0,2,4,0.3323
2018-02-28,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,XLE,0.0884,0.1019,0.0135,0.8846,1,0,0,1,0.0
2018-02-28,XLF,0.0879,0.1105,0.0226,0.867,2,0,0,2,0.0005
2018-02-28,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,XLP,0.0884,0.1019,0.0135,0.8846,1,0,0,1,0.0
2018-02-28,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-02-28,XLV,0.0884,0.1019,0.0135,0.8846,1,0,0,1,0.0
2018-03-01,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,SPY,-0.0046,0.2289,0.2335,0.5376,41,8,7,26,0.4475
2018-03-01,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,XLE,0.2274,0.2345,0.0071,0.7584,1,0,0,1,0.0
2018-03-01,XLF,0.4695,0.5125,0.043,0.4446,2,1,0,1,0.4379
2018-03-01,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-01,XLV,0.1272,0.1404,0.0132,0.8463,1,0,0,1,0.0
2018-03-02,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,IWM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,QQQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,SPY,-0.6837,0.0202,0.7039,0.276,9,0,7,2,0.3665
2018-03-02,TLT,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,VNQ,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,XLE,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,XLF,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,XLK,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,XLP,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,XLU,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-02,XLV,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-05,EEM,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-05,GLD,0.0,0.0,0.0,1.0,0,0,0,0,0.0
2018-03-05,IWM,-0.7061,0.0187,0.7249,0.2564,1,0,1,0,0.0
